tipo,cant_threads,input_dim,hidden_neurons,output_dim,epochs,dataset_elements,total_mult_en_ciclos,nops_stalls,ciclos_simulados,context_switches,tiempo_ejecucion_s
fgmt,2,3,30,1,500,500,66012000,1000200,208825200,66012000,212.750842
cgmt,2,3,30,1,500,500,66012000,1000200,73013600,200000,26.499030
normal,0,3,30,1,500,500,66012000,1000200,74013600,0,0.207503
fgmt,2,3,30,1,500,500,66012000,800200,206824600,66012000,212.812649
cgmt,2,3,30,1,500,500,66012000,800200,69012900,600100,28.832107
normal,0,3,30,1,500,500,66012000,800200,72413600,0,0.229766
fgmt,2,3,30,1,500,500,66012000,1800200,210025338,66012000,215.142103
cgmt,2,3,30,1,500,500,66012000,1800200,73212900,1400105,30.282704
normal,0,3,30,1,500,500,66012000,1800200,80413600,0,0.217121
fgmt,2,3,30,1,500,500,66012000,1400100,208424852,66012000,214.764150
cgmt,2,3,30,1,500,500,66012000,1400100,70812070,1200106,29.646478
normal,0,3,30,1,500,500,66012000,1400100,77212800,0,0.249150
fgmt,2,3,30,1,500,500,66012000,1800600,213627600,66012000,213.265572
cgmt,2,3,30,1,500,500,66012000,1800600,73814500,1200400,30.454511
normal,0,3,30,1,500,500,66012000,1800600,80416800,0,0.228196
fgmt,2,3,30,1,500,500,66012000,1200200,208825200,66012000,215.515883
cgmt,2,3,30,1,500,500,66012000,1200200,70012900,1000100,30.724406
normal,0,3,30,1,500,500,66012000,1200200,74613600,0,0.221950
fgmt,2,3,30,1,500,500,66012000,1800500,211627268,66012000,213.196503
cgmt,2,3,30,1,500,500,66012000,1800500,70412600,1600500,32.425075
normal,0,3,30,1,500,500,66012000,1800500,79416000,0,0.230049
fgmt,2,3,30,1,500,500,66012000,1000400,208425800,66012000,211.676028
cgmt,2,3,30,1,500,500,66012000,1000400,68612500,800400,29.101586
normal,0,3,30,1,500,500,66012000,1000400,74015200,0,0.246379
fgmt,2,3,30,1,500,500,66012000,600100,206824600,66012000,213.931322
cgmt,2,3,30,1,500,500,66012000,600100,67412100,600100,28.487541
normal,0,3,30,1,500,500,66012000,600100,70812800,0,0.270481
fgmt,2,3,30,1,500,500,66012000,1000400,209626400,66012000,213.564392
cgmt,2,3,30,1,500,500,66012000,1000400,68813100,800300,29.706621
normal,0,3,30,1,500,500,66012000,1000400,74015200,0,0.261179
fgmt,2,3,30,1,500,500,66012000,1400100,209424600,66012000,213.184161
cgmt,2,3,30,1,500,500,66012000,1400100,74212800,600000,28.203604
normal,0,3,30,1,500,500,66012000,1400100,77212800,0,0.245403
fgmt,2,3,30,1,500,500,66012000,1400200,209625200,66012000,216.353249
cgmt,2,3,30,1,500,500,66012000,1400200,73013600,800000,29.172661
normal,0,3,30,1,500,500,66012000,1400200,76213600,0,0.236561
fgmt,2,3,30,1,500,500,66012000,1600100,210424600,66012000,212.212129
cgmt,2,3,30,1,500,500,66012000,1600100,75012800,800000,29.370578
normal,0,3,30,1,500,500,66012000,1600100,78812800,0,0.236204
fgmt,2,3,30,1,500,500,66012000,1000200,209025200,66012000,214.212828
cgmt,2,3,30,1,500,500,66012000,1000200,71612900,400100,28.058264
normal,0,3,30,1,500,500,66012000,1000200,74013600,0,0.253254
fgmt,2,3,30,1,500,500,66012000,1200400,210426400,66012000,214.203203
cgmt,2,3,30,1,500,500,66012000,1200400,72814300,600200,28.151834
normal,0,3,30,1,500,500,66012000,1200400,75615200,0,0.269195
fgmt,2,3,30,1,500,500,66012000,800000,207424000,66012000,212.384647
cgmt,2,3,30,1,500,500,66012000,800000,71412000,200000,26.691812
normal,0,3,30,1,500,500,66012000,800000,72412000,0,0.241319
fgmt,2,3,30,1,500,500,66012000,200000,204824000,66012000,214.608520
cgmt,2,3,30,1,500,500,66012000,200000,67612000,0,25.872507
normal,0,3,30,1,500,500,66012000,200000,67612000,0,0.252213
fgmt,2,3,30,1,500,500,66012000,1000200,208825200,66012000,213.901693
cgmt,2,3,30,1,500,500,66012000,1000200,71013600,600000,28.939415
normal,0,3,30,1,500,500,66012000,1000200,74013600,0,0.270801
fgmt,2,3,30,1,500,500,66012000,1000200,209025200,66012000,213.451336
cgmt,2,3,30,1,500,500,66012000,1000200,69212200,800200,29.997426
normal,0,3,30,1,500,500,66012000,1000200,74013600,0,0.266904
fgmt,2,3,30,1,500,500,66012000,1200200,209825200,66012000,211.799824
cgmt,2,3,30,1,500,500,66012000,1200200,71212900,800100,29.324809
normal,0,3,30,1,500,500,66012000,1200200,75613600,0,0.269235
fgmt,2,3,30,1,500,500,66012000,2000500,214027000,66012000,210.720678
cgmt,2,3,30,1,500,500,66012000,2000500,73213600,1800500,33.132013
normal,0,3,30,1,500,500,66012000,2000500,82016000,0,0.247938
fgmt,2,3,30,1,500,500,66012000,2000500,213227000,66012000,212.700721
cgmt,2,3,30,1,500,500,66012000,2000500,74414200,1400300,32.493540
normal,0,3,30,1,500,500,66012000,2000500,82016000,0,0.261393
fgmt,2,3,30,1,500,500,66012000,1200200,210025200,66012000,212.164712
cgmt,2,3,30,1,500,500,66012000,1200200,74212900,200100,26.823084
normal,0,3,30,1,500,500,66012000,1200200,75613600,0,0.246889
fgmt,2,3,30,1,500,500,66012000,400100,206224600,66012000,215.324458
cgmt,2,3,30,1,500,500,66012000,400100,67812100,200100,27.316582
normal,0,3,30,1,500,500,66012000,400100,69212800,0,0.235817
fgmt,2,3,30,1,500,500,66012000,1800400,210825800,66012000,213.604643
cgmt,2,3,30,1,500,500,66012000,1800400,74613900,1000200,30.545611
normal,0,3,30,1,500,500,66012000,1800400,79415200,0,0.275517
fgmt,2,3,30,1,500,500,66012000,1400300,211025800,66012000,214.631302
cgmt,2,3,30,1,500,500,66012000,1400300,70012300,1200300,31.410381
