tipo,hilos,media_aritmetica,mediana,desviacion_estandar,media_geometrica,IC,SpeedUp,Eficiencia
normal,0,164060.0,163200.0,6967.6268,163911.87,1087.9055,1.0,
cgmt,2,155115.0,155050.0,4887.1771,155041.745,2287.2693,1.0577,0.5288
cgmt,3,153705.0,154250.0,4453.9131,153643.3797,2084.4955,1.0674,0.3558
cgmt,4,152600.0,152750.0,3841.8745,152554.0708,1798.0526,1.0751,0.2688
cgmt,5,152310.0,151900.0,4226.3459,152255.042,1977.9908,1.0771,0.2154
cgmt,6,151440.0,150800.0,4096.9051,151387.9394,1917.4106,1.0833,0.1806
cgmt,7,150865.0,150650.0,3036.3196,150835.9222,1421.0413,1.0875,0.1554
cgmt,8,150655.0,150200.0,3284.0083,150621.1566,1536.9632,1.089,0.1361
cgmt,9,150520.0,150250.0,2888.3796,150493.7299,1351.8033,1.09,0.1211
fgmt,2,443400.6,443200.0,4477.9515,443379.1613,2095.7458,0.37,0.185
fgmt,3,436206.4,436000.0,3033.9695,436196.4192,1419.9414,0.3761,0.1254
fgmt,4,434180.6,434000.0,1763.4269,434177.2078,825.3092,0.3779,0.0945
fgmt,5,432000.6,432000.0,2.6833,432000.6,1.2558,0.3798,0.076
fgmt,6,432000.9,432000.0,2.2919,432000.9,1.0726,0.3798,0.0633
fgmt,7,432381.1,432000.0,965.3673,432380.0795,451.8058,0.3794,0.0542
fgmt,8,432000.9,432000.0,2.2919,432000.9,1.0726,0.3798,0.0475
fgmt,9,432200.0,432000.0,615.587,432199.5846,288.1036,0.3796,0.0422
