tipo,hilos,media_aritmetica,mediana,desviacion_estandar,media_geometrica,IC,SpeedUp,Eficiencia
normal,1,0.457256,0.456647,0.009557,0.457159,0.002716,1.0,
cmp,2,30.283489,30.127832,0.919399,30.270218,0.235469,0.0151,0.0075
cmp,3,44.961068,44.975038,0.138633,44.960858,0.039399,0.0102,0.0034
cmp,4,57.849011,57.84546,0.230652,57.848561,0.065551,0.0079,0.002
cmp,5,83.974592,83.795144,0.625249,83.972317,0.177694,0.0054,0.0011
smt,2,28.980981,28.923559,0.239002,28.980032,0.067924,0.0158,0.0079
smt,3,44.26707,44.19706,0.406261,44.265255,0.115458,0.0103,0.0034
smt,4,70.004409,70.0274,0.330659,70.003636,0.093972,0.0065,0.0016
smt,5,96.953626,98.141995,2.206494,96.928643,0.633779,0.0047,0.0009
smt,6,126.573679,132.781168,9.141948,126.236193,2.654545,0.0036,0.0006
smtoff,2,21.372212,21.702605,0.964183,21.35253,0.274018,0.0214,0.0107
smtoff,3,36.571196,36.575961,0.154441,36.570877,0.043892,0.0125,0.0042
smtoff,4,49.558888,49.566647,0.234172,49.558343,0.066551,0.0092,0.0023
smtoff,5,69.333113,69.012582,0.579545,69.330741,0.164705,0.0066,0.0013
