tipo,threads,cores,run,task-clock (s),cycles,instructions,cache-misses,mse
smt,2,"(0,1)",1,30.036890,105524843668,111689165840,984721245,0.000319757
0.000234456
smt,2,"(0,1)",2,29.947942,104499076181,111628571381,967738379,0.000330529
0.000238211
smt,2,"(0,1)",3,29.456008,104858408634,111817173800,968551332,0.000334224
0.000285502
smt,2,"(0,1)",4,29.075496,105414188796,111721660464,972854209,0.000328062
0.000264589
smt,2,"(0,1)",5,29.099743,106071159653,111832344508,976028586,0.000344651
0.000254025
smt,2,"(0,1)",6,29.017079,105893771602,111921057950,979010367,0.000358225
0.000312407
smt,2,"(0,1)",7,28.915850,105521167334,111839825465,970295117,0.000333508
0.000272852
smt,2,"(0,1)",8,28.842642,105397292892,111812089273,970101753,0.000319983
0.000285897
smt,2,"(0,1)",9,28.917789,105865252189,111761564563,968817512,0.000347988
0.000259196
smt,2,"(0,1)",10,28.923786,105754648499,111737331419,972933123,0.000340394
0.000255152
smt,2,"(0,1)",11,29.090603,105657836794,111555894657,978674325,0.000324849
0.000244448
smt,2,"(0,1)",12,28.866108,105645836705,111495384651,973642225,0.000367897
0.000325935
smt,2,"(0,1)",13,28.995314,105910781187,111528248992,976241940,0.00032451
0.000256075
smt,2,"(0,1)",14,29.016188,106006095596,111643841730,980179996,0.000298285
0.000233145
smt,2,"(0,1)",15,28.859533,105750208796,111491479887,975460173,0.000340126
0.000283335
smt,2,"(0,1)",16,28.967194,105926712360,111421751616,977777442,0.000360393
0.000284893
smt,2,"(0,1)",17,28.842523,105426215377,111413964988,974458695,0.000268063
0.000215699
smt,2,"(0,1)",18,28.877417,105730692618,111546363723,977374812,0.00025284
0.000246727
smt,2,"(0,1)",19,28.960421,106136003275,111618006050,978591069,0.000358777
0.000251074
smt,2,"(0,1)",20,29.008630,105923093907,111668660464,976035530,0.000335689
0.000256796
smt,2,"(0,1)",21,28.885844,105462865982,111566465462,975373748,0.000365686
0.000296069
smt,2,"(0,1)",22,28.954412,105904802221,111720645857,977875897,0.000233235
0.000173512
smt,2,"(0,1)",23,29.046103,106175512229,111688864705,980987372,0.000308247
0.000235779
smt,2,"(0,1)",24,28.865497,105515678147,111646158806,975706496,0.000316789
0.000261708
smt,2,"(0,1)",25,28.893205,105550203116,111653900384,975111997,0.000344668
0.000289635
smt,2,"(0,1)",26,28.923332,105675811178,111600182078,971630137,0.000304911
0.000241082
smt,2,"(0,1)",27,28.977861,106264876786,111664908553,978623012,0.000351635
0.0002936
smt,2,"(0,1)",28,28.968793,106012688731,111625864768,978910417,0.000349386
0.000268605
smt,2,"(0,1)",29,28.919893,105809035503,111768906259,979545692,0.000298816
0.000251711
smt,2,"(0,1)",30,28.936343,105931793973,111594261893,975841313,0.000335766
0.000257951
smt,2,"(0,1)",31,29.068711,105826832658,111672100590,983254499,0.000398876
0.000298841
smt,2,"(0,1)",32,29.022300,105934472269,111599597162,983312209,0.000314254
0.000252984
smt,2,"(0,1)",33,28.831471,105574728949,111516856606,977760390,0.000350342
0.000270401
smt,2,"(0,1)",34,28.971456,105947989956,111608144267,987442875,0.000329623
0.000294408
smt,2,"(0,1)",35,28.930861,105812022083,111489943961,975862505,0.000313796
0.000231021
smt,2,"(0,1)",36,28.751657,105219947442,111424966714,971413523,0.000359138
0.000283862
smt,2,"(0,1)",37,28.903011,105699372491,111413605490,975294404,0.000307297
0.00023007
smt,2,"(0,1)",38,28.867824,105599456092,111428741788,975285436,0.00032661
0.000242153
smt,2,"(0,1)",39,28.848751,105488866571,111523479067,979568451,0.000372484
0.000311154
smt,2,"(0,1)",40,28.784522,105403598959,111556928881,978728172,0.00032586
0.000277963
smt,2,"(0,1)",41,28.830385,105539440456,111538572201,971944458,0.000125663
0.000105652
smt,2,"(0,1)",42,28.846131,105781074015,111573035236,978562076,0.000341467
0.0002592
smt,2,"(0,1)",43,28.863941,105732653036,111574533461,979231906,0.00032011
0.000255924
smt,2,"(0,1)",44,28.901965,105937381871,111707628918,976967602,0.000304899
0.00024041
smt,2,"(0,1)",45,28.887799,105812021485,111576945447,974390565,0.000309074
0.000235804
smt,2,"(0,1)",46,28.846453,105757488797,111600912396,975496123,0.000352586
0.000251738
smt,2,"(0,1)",47,28.714563,105406320027,111581621328,974456480,0.000355411
0.000274191
smt,2,"(0,1)",48,28.983235,105972567145,111667429667,983703172,0.000359302
0.00029849
smt,2,"(0,1)",49,29.154442,105975365148,111637210806,991343499,0.000221674
0.000246227
smt,2,"(0,1)",50,28.951125,105943917088,111451603951,977125625,0.000321982
0.000241497
smt,3,"(0,1)",1,43.569170,166767616189,167196759366,1642714926,0.000234456
smt,3,"(0,1)",2,43.908515,166586185322,167289835129,1641675060,0.000238211
smt,3,"(0,1)",3,43.814277,165106329530,166952173184,1629199787,0.000285502
smt,3,"(0,1)",4,43.965290,165111906599,167135091096,1633973893,0.000264589
smt,3,"(0,1)",5,44.381409,166571588159,168385710043,1656049868,0.000254025
smt,3,"(0,1)",6,45.098038,169228858148,170633465626,1702405734,0.000312407
smt,3,"(0,1)",7,45.368380,168957036929,170667910357,1707003572,0.000272852
smt,3,"(0,1)",8,44.696403,166636825046,169026015535,1664659073,0.000285897
smt,3,"(0,1)",9,44.290807,164943250950,167412159912,1635951722,0.000259196
smt,3,"(0,1)",10,44.190053,164485602568,167046103450,1625884129,0.000255152
smt,3,"(0,1)",11,44.224800,164979913051,167288567932,1637689742,0.000244448
smt,3,"(0,1)",12,45.080143,168542550659,170349334296,1694849184,0.000325935
smt,3,"(0,1)",13,45.276609,169090757740,170520971506,1699199326,0.000256075
smt,3,"(0,1)",14,44.234599,164480398322,167250882029,1632107215,0.000233145
smt,3,"(0,1)",15,44.139728,164221240314,167070211154,1628726029,0.000283335
smt,3,"(0,1)",16,44.194234,164427277483,167187508214,1630402210,0.000284893
smt,3,"(0,1)",17,44.068958,163958756442,167131223470,1614266261,0.000215699
smt,3,"(0,1)",18,44.229741,164382251279,167356978883,1633430878,0.000246727
smt,3,"(0,1)",19,44.401239,165296582995,167529841179,1635505109,0.000251074
smt,3,"(0,1)",20,43.785832,162144456578,165873067976,1552000960,0.000256796
smt,3,"(0,1)",21,44.349756,164975350827,167757567769,1638100450,0.000296069
smt,3,"(0,1)",22,45.045565,168154587278,170467568342,1682169755,0.000173512
smt,3,"(0,1)",23,44.336190,164864070115,167701810665,1635843712,0.000235779
smt,3,"(0,1)",24,44.383062,164793648150,167483466816,1623447055,0.000261708
smt,3,"(0,1)",25,44.324136,164717926056,167851177825,1628703054,0.000289635
smt,3,"(0,1)",26,44.313281,164536456529,167686943951,1621518711,0.000241082
smt,3,"(0,1)",27,44.433656,164965947299,167688630221,1636668125,0.0002936
smt,3,"(0,1)",28,44.285289,164483770872,167596652183,1636553307,0.000268605
smt,3,"(0,1)",29,44.243964,164658550515,167575643483,1633953579,0.000251711
smt,3,"(0,1)",30,44.173015,164191743789,167501361510,1625079554,0.000257951
smt,3,"(0,1)",31,44.596663,165583013168,168535386838,1648346541,0.000298841
smt,3,"(0,1)",32,45.178756,168572366637,170831735236,1700061216,0.000252984
smt,3,"(0,1)",33,44.192852,164358946923,167452926072,1627821010,0.000270401
smt,3,"(0,1)",34,44.133053,164242882411,167249604254,1626715227,0.000294408
smt,3,"(0,1)",35,44.012985,162946588052,166413333162,1586679848,0.000231021
smt,3,"(0,1)",36,43.956150,162361087939,165630861379,1548690223,0.000283862
smt,3,"(0,1)",37,43.723447,161696708597,165681135407,1548795013,0.00023007
smt,3,"(0,1)",38,44.084539,164369638198,167226754389,1631955328,0.000242153
smt,3,"(0,1)",39,44.199887,164310210051,167282516540,1620365235,0.000311154
smt,3,"(0,1)",40,44.167983,164318961885,167232894524,1627730118,0.000277963
smt,3,"(0,1)",41,44.200396,164199193270,167347725573,1625512932,0.000105652
smt,3,"(0,1)",42,43.804042,162803200326,166303616399,1617580026,0.0002592
smt,3,"(0,1)",43,44.145607,164389934972,167248407240,1629248862,0.000255924
smt,3,"(0,1)",44,44.193915,164062189494,167271394938,1627208844,0.00024041
smt,3,"(0,1)",45,44.187456,164536274148,167245133284,1630683849,0.000235804
smt,3,"(0,1)",46,43.746820,161765802328,165549250455,1538352885,0.000251738
smt,3,"(0,1)",47,43.880616,162209611668,165506661559,1549930243,0.000274191
smt,3,"(0,1)",48,43.902681,162013537934,165450877550,1545167488,0.00029849
smt,3,"(0,1)",49,43.907185,162275147004,165959557215,1564860382,0.000246227
smt,3,"(0,1)",50,44.332322,164425293749,167168124711,1630993588,0.000241497
smt,4,"(0,1)",1,68.157731,227963974328,221102936230,2183360349,0.000247045
smt,4,"(0,1)",2,69.735387,218902929223,218611111561,2054823253,0.000235816
smt,5,"(2,3)",1,97.927017,310269842869,319311957308,2947174774,0.000247045
smt,4,"(0,1)",3,69.659618,216888144778,216498551251,1999667185,0.000282488
smt,6,"(4,5)",1,133.615565,425978259444,424281058943,4030922116,0.000247045
smt,5,"(2,3)",2,98.103417,309249902032,318119317708,2906760503,0.000235816
smt,4,"(0,1)",4,69.701344,216530874879,216522303895,2001973987,0.000308028
smt,4,"(0,1)",5,69.989518,216849666035,217376124495,2000379535,0.000211785
smt,6,"(4,5)",2,134.429258,425308464387,421098347388,3811110098,0.000235816
smt,5,"(2,3)",3,97.994052,307258895872,317157355361,2909322040,0.000282488
smt,4,"(0,1)",6,69.783977,216480929567,216703661651,1997698143,0.000220887
smt,5,"(2,3)",4,98.315013,308356130938,315227682848,2802955483,0.000308028
smt,6,"(4,5)",3,132.056177,416851066266,405684823042,3758317326,0.000282488
smt,4,"(0,1)",7,69.901666,216538708464,216627706186,1990726694,0.000246122
